model,f5Level,state,machineT,f5Rmu,x_lat,y_vert,z_long,dY_fromBase,dZ_fromBase,verticalThrustArm,readyDrive_dZ,aftOfRear,aheadOfFront
F5_AFT_PROXY,LOW,POST_YAW,0.54,12.0000,0.00000000,1.453483,-1.287617,-0.000326,-0.398478,0.673483,,false,false
F5_AFT_PROXY,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318075,-1.287461,-0.000326,-0.398478,0.538075,,false,false
F5_AFT_PROXY,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318075,-1.287360,-0.000326,-0.398478,0.538075,,false,false
F5_AFT_PROXY,LOW,DRIVE,1,12.0000,0.00000000,1.318075,-1.673875,-0.000326,-0.398478,0.538075,-0.386515,false,false
F5_AFT_PROXY,NOMINAL,SPREAD,0,20.0000,0.00000000,1.496100,-0.932283,-0.000500,-0.611000,0.716100,,true,false
F5_AFT_PROXY,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.469334,-0.928589,-0.000500,-0.611000,0.689334,,false,false
F5_AFT_PROXY,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.402004,-1.445007,-0.000500,-0.611000,0.622004,,false,false
F5_AFT_PROXY,NOMINAL,POST_HAUNCH_CANT,0.7,20.0000,-0.00000000,1.277429,-1.444865,-0.000500,-0.611000,0.497429,,false,false
F5_AFT_PROXY,NOMINAL,STRUCTURAL_READY,0.84,20.0000,0.00000000,1.277429,-1.444771,-0.000500,-0.611000,0.497429,,false,false
F5_AFT_PROXY,NOMINAL,DRIVE,1,20.0000,0.00000000,1.277429,-1.800365,-0.000500,-0.611000,0.497429,-0.355594,false,false
F5_AFT_PROXY,HIGH,SPREAD,0,30.0000,0.00000000,1.433727,-1.143440,-0.000682,-0.833182,0.653727,,true,false
F5_AFT_PROXY,HIGH,MID_FOLD,0.15,30.0000,0.00000000,1.409395,-1.140081,-0.000682,-0.833182,0.629395,,false,false
F5_AFT_PROXY,HIGH,POST_YAW,0.54,30.0000,0.00000000,1.348186,-1.609552,-0.000682,-0.833182,0.568186,,false,false
F5_AFT_PROXY,HIGH,POST_HAUNCH_CANT,0.7,30.0000,-0.00000000,1.234936,-1.609422,-0.000682,-0.833182,0.454936,,false,false
F5_AFT_PROXY,HIGH,STRUCTURAL_READY,0.84,30.0000,0.00000000,1.234936,-1.609337,-0.000682,-0.833182,0.454936,,false,false
F5_AFT_PROXY,HIGH,DRIVE,1,30.0000,0.00000000,1.234936,-1.932604,-0.000682,-0.833182,0.454936,-0.323267,false,false
F5_SPLIT_50_50,LOW,SPREAD,0,12.0000,0.00000000,1.556250,-0.425091,0.000163,-0.093261,0.776250,,false,false
F5_SPLIT_50_50,LOW,MID_FOLD,0.15,12.0000,0.00000000,1.527157,-0.421075,0.000163,-0.093261,0.747157,,false,false
F5_SPLIT_50_50,LOW,POST_YAW,0.54,12.0000,0.00000000,1.453972,-0.982399,0.000163,-0.093261,0.673972,,false,false
F5_SPLIT_50_50,LOW,POST_HAUNCH_CANT,0.7,12.0000,-0.00000000,1.318564,-0.982244,0.000163,-0.093261,0.538564,,false,false
F5_SPLIT_50_50,LOW,STRUCTURAL_READY,0.84,12.0000,0.00000000,1.318564,-0.982142,0.000163,-0.093261,0.538564,,false,false
F5_SPLIT_50_50,LOW,DRIVE,1,12.0000,0.00000000,1.318564,-1.368657,0.000163,-0.093261,0.538564,-0.386515,false,false
F5_SPLIT_50_50,NOMINAL,SPREAD,0,20.0000,0.00000000,1.496850,-0.464283,0.000250,-0.143000,0.716850,,false,false
F5_SPLIT_50_50,NOMINAL,MID_FOLD,0.15,20.0000,0.00000000,1.470084,-0.460589,0.000250,-0.143000,0.690084,,false,false
F5_SPLIT_50_50,NOMINAL,POST_YAW,0.54,20.0000,0.00000000,1.402754,-0.977007,0.000250,-0.143000,0.622754,,false,false
