scenario,state,machineT,totalRmu,x_lat,y_vert,z_long,verticalThrustArm,verticalThrustArmNorm,dZ_fromSpread,dZ_fromReady
LIGHT_DRIVE_MOVING,DRIVE,1,90.0000,0.000000,1.333255,-0.677072,0.553255,0.191107,-0.681201,-0.111771
HEAVY_COCKPIT,SPREAD,0,112.0000,0.000000,1.470179,0.093497,0.690179,0.238404,0.000000,
HEAVY_COCKPIT,MID_FOLD,0.15,112.0000,0.000000,1.446281,0.096795,0.666281,0.230149,0.003299,
HEAVY_COCKPIT,POST_YAW,0.54,112.0000,0.000000,1.386165,-0.364292,0.606165,0.209383,-0.457789,
HEAVY_COCKPIT,POST_HAUNCH_CANT,0.7,112.0000,-0.000000,1.274937,-0.364165,0.494937,0.170963,-0.457662,
HEAVY_COCKPIT,STRUCTURAL_READY,0.84,112.0000,0.000000,1.274937,-0.364081,0.494937,0.170963,-0.457578,0.000000
HEAVY_COCKPIT,DRIVE,1,112.0000,0.000000,1.274937,-0.681575,0.494937,0.170963,-0.775072,-0.317494
HEAVY_WAIST_SYSTEMS,SPREAD,0,106.0000,0.000000,1.495377,-0.319513,0.715377,0.247108,0.000000,
HEAVY_WAIST_SYSTEMS,MID_FOLD,0.15,106.0000,0.000000,1.470127,-0.316027,0.690127,0.238386,0.003485,
HEAVY_WAIST_SYSTEMS,POST_YAW,0.54,106.0000,0.000000,1.406608,-0.803215,0.626608,0.216445,-0.483702,
HEAVY_WAIST_SYSTEMS,POST_HAUNCH_CANT,0.7,106.0000,-0.000000,1.289084,-0.803080,0.509084,0.175849,-0.483567,
HEAVY_WAIST_SYSTEMS,STRUCTURAL_READY,0.84,106.0000,0.000000,1.289084,-0.802991,0.509084,0.175849,-0.483479,0.000000
HEAVY_WAIST_SYSTEMS,DRIVE,1,106.0000,0.000000,1.289084,-1.138457,0.509084,0.175849,-0.818944,-0.335466
